Entity	Code	Year	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score	Population (historical estimates)	Continent
Monaco	MCO	2018	86.5		37050	
Monaco	MCO	2019	86.5		37059	
Monaco	MCO	2020	86.5		36943	
Monaco	MCO	2021	85.9		36713	
Monaco	MCO	2016	85.7		37090	
Monaco	MCO	2017	85.7		37069	
Monaco	MCO	2011	85.6		33971	
Hong Kong	HKG	2021	85.5	5.4248	7494580	
Macao	MAC	2021	85.4		686616	
Hong Kong	HKG	2019	85.3	5.5104	7496121	
Monaco	MCO	2015	85.3	36781	Europe
Hong Kong	HKG	2018	85.2	5.4304	7481563	
Hong Kong	HKG	2020	85.2	5.4767	7500955	